景點名稱,地點搜尋關鍵字,順序,類型,評分,評論總數,bayesian_C,bayesian_m,bayesian_score,備註說明
蘆洲柳堤公園,新北市蘆洲區廣榮路與長樂路口柳堤公園,1,起終點,4.3,1407,4.3556,1588,4.33,早上07:00出發 河濱起點 有公廁與停車場
八里左岸自行車道,新北市八里左岸自行車道,2,景點,4.4,1423,4.3556,1588,4.38,約08:30抵達 淡水河口壯觀河景 觀音山倒影 km約15 ★主視覺
7-ELEVEN 里商門市,7-ELEVEN 里商門市 新北市八里區商港三路99號,3,便利商店,,,,,,離開八里前補充水分食物 km約18
水牛坑越野場地,新北市林口區水牛坑越野場地西部濱海公路625號,4,景點,4.2,4737,4.3556,1588,4.24,約09:45抵達 特殊峽谷地貌 km約28
竹圍漁港,桃園竹圍漁港 大園區漁港路451巷25號,5,景點,4.2,41577,4.3556,1588,4.21,約10:45抵達 彩虹橋漁港地標 km約43
7-ELEVEN 大益門市,7-ELEVEN 大益門市 桃園市觀音區濱海路大潭段22號,6,便利商店,,,,,,觀音大潭路段補給 km約57
永安漁港,桃園永安漁港 新屋區中山西路三段1165號,7,景點,4.1,38608,4.3556,1588,4.11,約12:00抵達 大型觀光漁港 km約70
江戶壽司（永安漁港）,江戶壽司 桃園 永安漁港 新屋區中山西路三段1165號鮮魚區C02,8,餐廳大休,4.8,534,4.3556,1588,4.47,12:00-13:30午餐大休 週一公休改海晏漁村料理
7-ELEVEN 永安港門市,7-ELEVEN 永安港門市 桃園市新屋區中山西路三段1148號,9,便利商店,,,,,,午餐後補給 距永安漁港200m km約70
新竹南寮漁港,新竹南寮漁港 新竹市北區新港四路,10,景點,4.2,1753,4.3556,1588,4.27,約15:30抵達 海鮮市集 km約90
竹南車站,竹南火車站 苗栗縣竹南鎮中山路166號,11,起終點,4.0,1184,4.3556,1588,4.2,約17:00抵達 當日終點
