景點名稱,地點搜尋關鍵字,緯度,經度,順序,類型,評分,評論總數,bayesian_C,bayesian_m,bayesian_score,備註說明
太麻里車站,台東縣太麻里鄉 太麻里車站,22.618796099999997,121.00501509999998,1,起終點,4.4,972,4.4832,228,4.42,07:00 出發 接續 Day6 終點 km0
7-ELEVEN 知本門市,7-ELEVEN 知本門市,22.706231700000004,121.04155179999998,2,便利商店,,,,,,知本補給點 km約12
7-ELEVEn 熱氣球門市,7-ELEVEN 熱氣球門市,22.9040888,121.11377759999998,3,便利商店,,,,,,鹿野高台前補給 km約42
鹿野高台,台東鹿野 鹿野高台,22.916449,121.12159489999999,4,景點,4.5,26944,4.4832,228,4.5,必經 鹿野高台 熱氣球嘉年華飛行傘（上下走高台路、避抄窄產業道路） km約47
7-ELEVEN 關山門市,7-ELEVEN 關山門市,23.0450861,121.1631445,5,便利商店,,,,,,關山補給點 km約64
伯朗大道,台東縣池上鄉 伯朗大道,23.0988065,121.2130022,6,景點,4.4,9619,4.4832,228,4.4,必經 伯朗大道 池上金黃稻浪 km約74
大坡池,台東池上 大坡池,23.1191771,121.22341009999998,7,景點,4.4,10067,4.4832,228,4.4,必經 大坡池 池上濕地湖泊環湖步道 km約79
7-ELEVEN 東馳門市,7-ELEVEN 東馳門市,23.1227232,121.218716,8,便利商店,,,,,,池上補給點 km約80
悟饕池上飯包文化故事館,台東池上 悟饕池上飯包文化故事館,23.1242563,121.2209041,9,餐廳大休,3.9,17115,4.4832,228,3.91,午餐大休 池上飯包名店 km約80
富里稻草藝術景觀區,花蓮富里 富里稻草藝術景觀區,23.205780999999998,121.27238099999998,10,景點,4.4,5949,4.4832,228,4.4,必經 富里稻草藝術 稻田地景藝術 km約92
玉里車站,花蓮縣玉里鎮 玉里車站,23.331519999999998,121.31172,11,起終點,4.1,689,4.4832,228,4.2,終點 玉里 玉里麵與安通溫泉 km約110
